surface,draw_size,tourney_date,outcome,opponent_1serve,serv points,1serve points,opp_return_perc,o_ret_points,winner_seed,winner_name,winner_hand,loser_seed,loser_entry,loser_name,loser_hand,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,28,20141013,L,64.44444444,90,58,40,36,,Bernard Tomic,R,7,,Fernando Verdasco,L,0-6 6-4 7-6(6),3,120,7,2,90,58,40,15,14,4,9,10,4,97,66,46,15,14,3,6,76,726,36,1090
Hard,32,20141020,W,66.27906977,86,57,34.88372093,30,,Fernando Verdasco,L,,,Leonardo Mayer,R,6-4 3-6 6-3,3,116,7,1,90,62,47,13,14,4,5,9,4,86,57,45,14,14,4,6,35,1090,25,1404
Hard,32,20141020,L,66.66666667,51,34,41.17647059,21,1,David Ferrer,R,,,Fernando Verdasco,L,6-3 6-2,3,68,1,0,51,34,26,12,9,0,0,5,5,50,32,23,6,8,6,9,5,4585,35,1090
Hard,48,20141027,W,56.17977528,89,50,25.84269663,23,,Fernando Verdasco,L,,Q,Donald Young,L,4-6 6-1 6-3,3,100,9,3,77,45,36,18,13,2,3,1,10,89,50,31,19,13,4,8,33,1090,61,779
Hard,48,20141027,W,58.5106383,94,55,26.59574468,25,,Fernando Verdasco,L,15,,Gilles Simon,R,6-3 3-6 6-4,3,113,3,3,72,40,30,17,14,1,4,4,2,94,55,38,19,14,5,9,33,1090,19,1810
Hard,48,20141027,L,66.66666667,42,28,59.52380952,25,4,David Ferrer,R,,,Fernando Verdasco,L,6-1 6-2,3,55,0,0,42,28,21,9,8,0,1,1,5,39,22,10,4,7,2,7,6,4465,33,1090
Hard,32,20150105,W,68.31683168,101,69,41.58415842,42,,Fernando Verdasco,L,,,Teymuraz Gabashvili,R,4-6 6-3 7-6(4),3,144,8,5,123,99,70,11,16,8,9,12,4,101,69,58,13,15,9,10,33,1135,66,730
Hard,32,20150105,L,67.39130435,46,31,82.60869565,38,4,David Ferrer,R,,,Fernando Verdasco,L,6-3 6-2,3,78,2,3,46,31,23,9,8,1,2,1,4,74,48,27,9,9,8,13,10,4045,33,1135
Hard,128,20150119,W,61.98347107,121,75,37.19008264,45,31,Fernando Verdasco,L,,,James Ward,R,2-6 6-0 7-6(6) 6-3,5,162,13,6,123,82,63,15,17,6,9,6,4,121,75,49,18,18,8,14,33,1135,103,539
Hard,128,20150119,W,60.86956522,92,56,29.34782609,27,31,Fernando Verdasco,L,,,Go Soeda,R,6-3 6-2 7-6(3),5,116,15,4,95,62,49,19,15,5,6,3,0,92,56,39,16,14,5,9,33,1135,92,571
