surface,draw_size,tourney_date,outcome,opponent_1serve,serv points,1serve points,opp_return_perc,o_ret_points,winner_seed,winner_name,winner_hand,loser_seed,loser_entry,loser_name,loser_hand,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,128,20160321,W,50.87719298,57,29,19.29824561,11,,Fernando Verdasco,L,28,,Jeremy Chardy,R,6-4 6-4,3,72,9,4,50,32,29,10,10,3,4,2,9,57,29,23,13,10,4,7,65,750,31,1255
Hard,128,20160321,L,53.98230088,113,61,20.3539823,23,,Horacio Zeballos,L,,,Fernando Verdasco,L,1-6 6-4 7-6(4),3,154,8,6,113,61,42,26,15,7,10,8,3,82,57,44,15,14,2,3,112,540,65,750
Clay,32,20160404,W,75.64102564,78,59,25.64102564,20,,Fernando Verdasco,L,,Q,Carlos Berlocq,R,6-4 6-3,3,100,4,2,55,27,21,14,9,2,4,1,3,78,59,32,10,10,9,14,77,705,154,375
Clay,32,20160404,L,50.79365079,63,32,34.92063492,22,7,Marcos Baghdatis,R,,,Fernando Verdasco,L,6-4 6-3,3,76,6,2,63,32,23,19,10,3,4,2,2,53,39,25,6,9,3,6,39,1032,77,705
Clay,64,20160411,W,57.5,40,23,30,12,,Fernando Verdasco,L,,,Federico Delbonis,L,6-0 6-3,3,57,0,1,46,34,28,6,8,0,0,0,1,40,23,12,7,7,0,4,88,635,36,1150
Clay,64,20160411,L,64.81481481,108,70,41.66666667,45,11,David Goffin,R,,WC,Fernando Verdasco,L,7-6(2) 2-6 7-6(1),3,150,8,4,108,70,44,19,16,7,13,4,6,110,77,47,18,16,3,7,13,2560,88,635
Clay,32,20160418,W,69.92481203,133,93,15.78947368,21,,Fernando Verdasco,L,,Q,Aldin Setkic,R,6-7(5) 6-1 7-5,3,154,18,2,89,57,48,20,16,1,2,6,8,133,93,58,20,15,10,14,86,670,208,250
Clay,32,20160418,W,71.08433735,83,59,14.45783133,12,,Fernando Verdasco,L,,Q,Radu Albot,R,6-3 6-1,3,88,3,2,44,26,22,10,8,0,0,1,2,83,59,30,11,8,13,17,86,670,156,361
Clay,32,20160418,W,62.31884058,69,43,24.63768116,17,,Fernando Verdasco,L,,,Robin Haase,R,7-6(6) 6-3,3,87,3,2,63,41,31,15,11,0,1,1,0,69,43,32,9,10,2,4,86,670,64,765
Clay,32,20160418,W,70.73170732,82,58,26.82926829,22,,Fernando Verdasco,L,4,,Guillermo Garcia Lopez,R,6-3 3-6 6-2,3,116,5,5,73,45,35,16,13,1,3,3,4,82,58,46,5,13,7,11,86,670,37,1115
Clay,32,20160418,W,54.16666667,48,26,47.91666667,23,,Fernando Verdasco,L,,,Lucas Pouille,R,6-3 6-2,3,73,4,0,69,50,36,10,9,5,5,4,2,48,26,16,10,8,3,6,86,670,72,728
Clay,32,20160425,L,58,50,29,54,27,8,Pablo Carreno Busta,R,,WC,Fernando Verdasco,L,6-1 6-3,3,68,5,0,50,29,23,14,8,2,2,2,2,55,35,18,10,8,6,10,50,919,51,900
Clay,64,20160502,W,85.52631579,76,65,43.42105263,33,,Fernando Verdasco,L,,WC,Juan Monaco,R,7-5 7-6(3),3,112,7,2,90,47,31,26,12,8,9,3,0,76,65,44,6,12,5,7,52,900,98,575
Clay,64,20160502,L,71.62162162,74,53,39.18918919,29,10,Richard Gasquet,R,,WC,Fernando Verdasco,L,6-4 3-6 6-1,3,108,4,0,74,53,42,10,13,2,3,3,1,78,55,38,11,13,1,4,12,2635,52,900
Clay,32,20160516,L,69.56521739,69,48,43.47826087,30,,Diego Schwartzman,R,,,Fernando Verdasco,L,7-6(5) 6-1,3,90,1,3,69,48,31,11,10,2,4,4,3,62,36,24,8,9,3,7,65,769,56,855
Clay,128,20160523,W,65.51724138,116,76,25.86206897,30,,Fernando Verdasco,L,33,,Steve Johnson,R,7-5 6-4 7-5,5,140,5,3,101,74,51,20,17,6,7,5,5,116,76,51,19,17,9,13,52,855,34,1190
Clay,128,20160523,W,65.33333333,75,49,21.33333333,16,,Fernando Verdasco,L,,,Ivan Dodig,R,6-2 6-1 6-3,5,100,5,0,67,52,40,11,12,5,6,5,1,75,49,25,14,12,10,17,52,855,77,708
Clay,128,20160523,L,63.57615894,151,96,43.70860927,66,5,Kei Nishikori,R,,,Fernando Verdasco,L,6-3 6-4 3-6 2-6 6-4,5,201,4,7,151,96,61,24,23,11,19,7,7,154,105,69,19,23,10,18,6,4470,52,855
Grass,32,20160613,W,53.125,64,34,37.5,24,,Fernando Verdasco,L,2,,Stan Wawrinka,R,6-2 7-6(3),3,88,3,6,77,50,39,14,10,8,8,3,3,64,34,23,18,10,4,6,53,900,5,5035
Grass,32,20160613,L,68.53932584,89,61,62.92134831,56,,Bernard Tomic,R,,,Fernando Verdasco,L,6-7(2) 6-4 6-4,3,122,3,1,89,61,49,15,16,1,3,21,8,133,78,49,28,16,6,10,22,1625,53,900
Grass,64,20160620,W,73.07692308,78,57,26.92307692,21,14,Fernando Verdasco,L,,,Victor Estrella,R,6-1 4-6 6-3,3,86,6,3,69,49,36,12,13,2,4,0,2,78,57,31,12,13,5,10,52,900,78,705
Grass,64,20160620,L,72.88135593,59,43,38.98305085,23,1,Kevin Anderson,R,14,,Fernando Verdasco,L,6-3 7-6(6),3,78,18,0,59,43,40,11,11,0,0,9,6,70,41,34,13,10,4,5,24,1480,52,900
Grass,128,20160627,L,74.41860465,172,128,30.81395349,53,19,Bernard Tomic,R,,,Fernando Verdasco,L,4-6 6-3 6-3 3-6 6-4,5,165,11,7,172,128,97,13,24,13,17,28,7,144,95,68,23,23,10,15,19,1760,53,900
Clay,32,20160711,W,55.55555556,54,30,42.59259259,23,5,Fernando Verdasco,L,,Q,Henri Laaksonen,R,6-3 6-2,3,79,4,2,71,53,36,12,9,5,5,0,3,54,30,15,15,8,2,5,59,820,166,326
Clay,32,20160711,W,64.78873239,71,46,12.67605634,9,5,Fernando Verdasco,L,,,Albert Montanes,R,6-3 6-2,3,71,3,2,48,34,29,10,9,1,1,1,4,71,46,27,10,8,8,11,59,820,125,472
Clay,32,20160711,W,70,60,42,26.66666667,16,5,Fernando Verdasco,L,,,Facundo Bagnis,L,6-2 6-1,3,68,0,4,50,36,28,6,7,4,4,1,3,60,42,19,8,8,7,12,59,820,93,622
Clay,32,20160711,W,44.23076923,52,23,19.23076923,10,5,Fernando Verdasco,L,,,Gastao Elias,R,6-3 6-1,3,65,2,0,40,31,24,6,8,1,2,1,1,52,23,10,11,8,3,8,59,820,89,649
Clay,32,20160711,L,66.10169492,59,39,54.23728814,32,3,Albert Ramos,L,5,,Fernando Verdasco,L,6-3 6-4,3,86,2,2,59,39,26,9,9,3,5,2,1,65,50,28,5,10,4,9,35,1210,59,820
Hard,32,20160801,W,62.85714286,70,44,21.42857143,15,5,Fernando Verdasco,L,,,Dusan Lajovic,R,7-6(2) 6-4,3,86,2,1,66,46,38,13,11,2,2,5,3,70,44,33,13,11,3,4,48,950,70,761
Hard,32,20160801,W,60.86956522,46,28,21.73913043,10,5,Fernando Verdasco,L,,PR,Julien Benneteau,R,6-1 6-3,3,58,3,2,43,25,21,12,8,0,0,3,3,46,28,14,10,8,3,7,48,950,406,104
Hard,32,20160801,L,63.33333333,90,57,31.11111111,28,2,Nick Kyrgios,R,5,,Fernando Verdasco,L,6-4 6-7(5) 6-3,3,114,18,5,90,57,47,22,16,1,1,9,7,91,62,47,16,15,2,4,18,1865,48,950
Hard,32,20160808,L,53.62318841,69,37,52.17391304,36,8,Marcel Granollers,R,,,Fernando Verdasco,L,7-6(6) 6-2,3,99,1,2,69,37,31,16,10,3,4,5,8,82,42,29,17,10,12,15,47,956,46,975
Hard,64,20160815,W,63.63636364,88,56,15.90909091,14,,Fernando Verdasco,L,,,Albert Ramos,L,7-6(5) 6-4,3,101,11,1,59,33,28,17,11,0,1,3,2,88,56,37,18,11,10,12,45,985,33,1340
Hard,64,20160815,L,50.98039216,51,26,45.09803922,23,12,Marin Cilic,R,,WC,Fernando Verdasco,L,6-3 6-1,3,57,5,1,51,26,22,13,8,1,1,2,3,47,22,15,9,8,3,7,14,2605,45,985
Hard,64,20160822,W,57.69230769,78,45,41.02564103,32,15,Fernando Verdasco,L,,,Taylor Fritz,R,3-6 6-3 6-2,3,93,8,9,82,38,26,24,13,5,8,7,1,78,45,27,14,13,2,7,47,985,54,829
Hard,64,20160822,W,72.85714286,70,51,31.42857143,22,15,Fernando Verdasco,L,4,,Steve Johnson,R,6-4 7-6(7),3,87,10,4,79,45,37,20,11,3,3,10,3,70,51,37,12,11,1,2,47,985,21,1680
Hard,64,20160822,L,51.94805195,77,40,59.74025974,46,9,Viktor Troicki,R,15,,Fernando Verdasco,L,6-4 3-6 6-4,3,118,5,6,77,40,34,17,14,0,3,7,11,109,60,44,19,15,7,11,35,1270,47,985
Hard,128,20160829,L,49,100,49,37,37,3,Stan Wawrinka,R,,,Fernando Verdasco,L,7-6(4) 6-4 6-4,5,137,7,4,100,49,38,33,16,4,4,9,3,102,61,44,21,16,3,5,3,4980,46,1010
Hard,32,20160919,L,74,100,74,29,29,,Dusan Lajovic,R,,,Fernando Verdasco,L,2-6 6-3 6-2,3,109,3,3,100,74,46,14,13,5,8,1,4,71,39,29,13,12,6,10,73,716,47,975
Hard,32,20161003,W,63.15789474,95,60,29.47368421,28,,Fernando Verdasco,L,,Q,Go Soeda,R,6-7(2) 6-3 6-3,3,121,7,7,91,57,47,16,15,5,6,4,1,95,60,44,17,15,5,9,46,975,131,460
Hard,32,20161003,L,59.49367089,79,47,62.02531646,49,4,Marin Cilic,R,,,Fernando Verdasco,L,4-6 7-5 7-5,3,138,9,2,79,47,37,19,17,2,6,12,6,120,69,51,20,17,7,12,11,2885,46,975
Hard,64,20161010,L,63.63636364,44,28,45.45454545,20,13,Lucas Pouille,R,,,Fernando Verdasco,L,6-3 6-3,3,58,4,0,44,28,24,12,9,0,0,3,5,48,29,20,8,9,4,7,16,2061,44,1000
Hard,32,20161017,L,72.91666667,48,35,70.83333333,34,,Mikael Ymer,R,,,Fernando Verdasco,L,6-2 6-1,3,69,1,0,48,35,25,7,7,3,3,2,1,65,41,21,10,8,4,9,549,60,44,1000
Hard,32,20161024,L,58.33333333,60,35,68.33333333,41,,Pablo Carreno Busta,R,,,Fernando Verdasco,L,7-5 6-3,3,87,5,0,60,35,26,15,10,2,3,5,2,85,47,31,13,11,9,13,32,1360,45,1000
Hard,64,20161031,W,53.19148936,47,25,38.29787234,18,,Fernando Verdasco,L,,Q,Robin Haase,R,6-2 3-2 RET,3,61,2,1,49,37,27,4,6,0,1,5,3,47,25,16,7,7,1,5,46,1000,64,780
Hard,64,20161031,L,64.64646465,99,64,39.39393939,39,2,Andy Murray,R,,,Fernando Verdasco,L,6-3 6-7(5) 7-5,3,148,5,3,99,64,51,18,17,8,11,10,9,105,62,46,20,16,9,14,2,10985,46,1000
Hard,32,20170102,W,52.72727273,55,29,29.09090909,16,,Fernando Verdasco,L,,Q,Vasek Pospisil,R,7-5 6-0,3,75,0,1,52,36,25,11,9,0,1,5,1,55,29,19,8,9,3,8,42,1035,133,456
Hard,32,20170102,W,60.29411765,68,41,52.94117647,36,,Fernando Verdasco,L,4,,David Goffin,R,6-1 7-6(6),3,101,6,2,87,56,39,12,10,12,14,2,0,68,41,25,12,9,3,7,42,1035,11,2750
Hard,32,20170102,W,62.68656716,67,42,25.37313433,17,,Fernando Verdasco,L,6,,Ivo Karlovic,R,6-2 7-5,3,83,2,1,58,48,34,7,10,1,1,13,4,67,42,31,8,10,9,12,42,1035,20,1795
Hard,32,20170102,L,61.29032258,93,57,44.08602151,41,2,Novak Djokovic,R,,,Fernando Verdasco,L,4-6 7-6(7) 6-3,3,142,3,1,93,57,45,15,15,4,7,2,3,101,70,44,16,16,3,7,2,11780,42,1035
Hard,128,20170116,L,61.70212766,94,58,56.38297872,53,2,Novak Djokovic,R,,,Fernando Verdasco,L,6-1 7-6(4) 6-2,5,140,2,2,94,58,44,18,14,3,5,5,5,106,55,33,20,13,10,16,2,11780,40,1105
Hard,32,20170206,W,56.89655172,58,33,13.79310345,8,8,Fernando Verdasco,L,,LL,Gregoire Barrere,R,6-2 6-1,3,54,0,4,32,22,19,5,7,0,1,3,3,58,33,14,9,8,7,13,40,1070,240,216
Hard,32,20170206,L,59.3220339,59,35,35.59322034,21,,Daniil Medvedev,R,8,,Fernando Verdasco,L,6-3 6-3,3,61,8,1,59,35,25,15,9,2,3,1,1,46,41,22,3,9,0,4,63,749,40,1070
Hard,32,20170213,L,56.25,80,45,35,28,,Martin Klizan,L,,,Fernando Verdasco,L,6-4 0-6 6-1,3,96,2,6,80,45,30,15,12,2,6,1,4,67,49,32,7,11,5,9,73,685,39,1070
Hard,32,20170227,W,52.54237288,59,31,35.59322034,21,,Fernando Verdasco,L,,LL,Andreas Seppi,R,6-2 7-5,3,82,2,6,58,39,27,10,10,0,2,2,2,59,31,17,13,10,1,6,35,1070,73,700
Hard,32,20170227,W,56.84210526,95,54,43.15789474,41,,Fernando Verdasco,L,6,,Roberto Bautista Agut,R,6-4 3-6 7-5,3,145,0,10,99,75,47,11,15,9,13,3,2,95,54,33,24,16,3,8,35,1070,16,2190
Hard,32,20170227,W,66.66666667,69,46,21.73913043,15,,Fernando Verdasco,L,4,,Gael Monfils,R,6-3 7-5,3,81,1,2,57,48,39,3,11,1,2,10,1,69,46,27,14,10,7,10,35,1070,12,3190
Hard,32,20170227,W,58.40707965,113,66,22.12389381,25,,Fernando Verdasco,L,,,Robin Haase,R,7-6(5) 5-7 6-1,3,135,2,1,85,73,54,6,15,6,9,8,1,113,66,42,22,16,9,14,35,1070,66,763
Hard,32,20170227,L,55.55555556,45,25,66.66666667,30,1,Andy Murray,R,,,Fernando Verdasco,L,6-3 6-2,3,73,2,4,45,25,20,12,9,1,3,4,0,52,41,17,5,8,3,8,1,11540,35,1070
Hard,128,20170306,W,64.28571429,56,36,25,14,26,Fernando Verdasco,L,,,Pierre Hugues Herbert,R,7-6(5) 6-1,3,75,0,5,59,43,38,7,10,0,1,6,3,56,36,29,7,9,5,8,29,1325,74,713
Hard,128,20170306,L,73.21428571,56,41,46.42857143,26,5,Rafael Nadal,L,26,,Fernando Verdasco,L,6-3 7-5,3,89,1,1,56,41,33,8,11,0,1,0,7,65,52,36,3,10,2,5,6,4415,29,1325
Hard,128,20170320,W,50.60240964,83,42,31.3253012,26,25,Fernando Verdasco,L,,Q,Ernesto Escobedo,R,7-6(9) 7-5,3,107,4,7,82,56,41,15,12,3,5,7,1,83,42,31,19,12,1,4,30,1325,108,551
Hard,128,20170320,L,62.93103448,116,73,43.96551724,51,2,Kei Nishikori,R,25,,Fernando Verdasco,L,7-6(2) 6-7(5) 6-1,3,164,4,3,116,73,53,20,16,10,13,7,7,115,73,46,18,15,10,15,4,4730,30,1325
Clay,32,20170410,W,61.25,80,49,28.75,23,5,Fernando Verdasco,L,,,Kevin Anderson,R,7-6(4) 7-6(4),3,117,3,3,81,65,48,10,12,5,6,8,7,80,49,40,14,12,5,6,31,1325,67,730
Clay,32,20170410,W,41.53846154,65,27,38.46153846,25,5,Fernando Verdasco,L,,,Nicolas Kicker,R,7-6(4) 6-1,3,92,3,5,69,49,34,10,10,3,5,5,5,65,27,16,17,9,5,9,31,1325,100,570
Clay,32,20170410,L,67.85714286,56,38,55.35714286,31,4,Steve Johnson,R,5,,Fernando Verdasco,L,6-2 6-4,3,83,6,3,56,38,29,10,9,2,2,3,1,69,46,29,9,9,10,13,29,1380,31,1325
Clay,32,20170424,W,60,70,42,22.85714286,16,4,Fernando Verdasco,L,,WC,Marton Fucsovics,R,7-6(6) 6-3,3,88,1,1,63,55,43,4,10,3,4,4,3,70,42,29,14,11,2,5,36,1120,154,367
Clay,32,20170424,L,63.36633663,101,64,48.51485149,49,,Laslo Djere,R,4,,Fernando Verdasco,L,2-6 7-6(4) 6-2,3,151,2,0,101,64,44,15,14,9,14,6,2,111,93,53,9,14,12,17,184,294,36,1120
Clay,64,20170508,L,72.13114754,61,44,45.90163934,28,,Alexander Zverev,R,,,Fernando Verdasco,L,7-5 6-3,3,83,7,3,61,44,30,10,11,0,2,1,1,62,43,28,6,10,3,7,19,2165,35,1120
Clay,64,20170515,W,69.23076923,52,36,30.76923077,16,,Fernando Verdasco,L,,,Donald Young,L,6-3 6-3,3,69,3,0,50,32,23,11,9,0,1,1,4,52,36,21,7,9,1,5,37,1085,45,932
Clay,64,20170515,L,55.43478261,92,51,31.52173913,29,9,David Goffin,R,,,Fernando Verdasco,L,3-6 6-3 6-2,3,115,4,2,92,51,36,22,13,10,13,4,3,69,54,35,5,13,4,9,10,3055,37,1085
Clay,128,20170529,W,66.14173228,127,84,43.30708661,55,,Fernando Verdasco,L,9,,Alexander Zverev,R,6-4 3-6 6-4 6-2,5,173,0,5,128,89,53,20,19,7,12,8,5,127,84,50,18,18,12,20,37,1085,10,3150
Clay,128,20170529,W,58.06451613,155,90,29.67741935,46,,Fernando Verdasco,L,,,Pierre Hugues Herbert,R,6-3 3-6 4-6 6-3 6-3,5,209,5,3,145,105,75,24,23,11,14,11,3,155,90,60,36,23,6,11,37,1085,82,662
Clay,128,20170529,W,50.66666667,75,38,30.66666667,23,,Fernando Verdasco,L,22,,Pablo Cuevas,R,6-2 6-1 6-3,5,93,2,5,72,48,36,13,12,6,8,0,7,75,38,18,12,12,6,14,37,1085,23,1865
Clay,128,20170529,L,52.67857143,112,59,43.75,49,8,Kei Nishikori,R,,,Fernando Verdasco,L,0-6 6-4 6-4 6-0,5,154,4,2,112,59,37,25,16,8,13,3,6,109,77,48,12,16,10,17,9,3650,37,1085
Grass,32,20170619,L,64.42307692,104,67,34.61538462,36,3,Kei Nishikori,R,,,Fernando Verdasco,L,6-7(7) 6-3 6-4,3,144,3,4,104,67,56,18,16,9,10,14,2,106,75,55,15,15,8,11,9,3785,34,1175
Grass,32,20170626,W,65.75342466,73,48,23.28767123,17,3,Fernando Verdasco,L,,,Steve Darcis,R,6-3 6-4,3,83,6,6,56,31,23,16,10,0,1,2,2,73,48,32,9,9,8,11,35,1175,59,821
Grass,32,20170626,L,66.66666667,78,52,41.02564103,32,,Adrian Mannarino,L,3,,Fernando Verdasco,L,2-6 7-5 6-2,3,110,4,3,78,52,34,16,14,0,3,10,4,81,43,29,20,14,3,7,62,766,35,1175
Grass,128,20170703,L,75.78125,128,97,34.375,44,,Kevin Anderson,R,31,,Fernando Verdasco,L,2-6 7-6(5) 7-6(8) 6-3,5,175,25,4,128,97,78,15,21,1,3,6,6,139,85,68,27,20,3,4,42,970,35,1175
Clay,32,20170717,W,50.51546392,97,49,25.77319588,25,6,Fernando Verdasco,L,,WC,Elias Ymer,R,4-6 6-3 6-4,3,119,6,1,87,57,44,18,15,4,5,6,8,97,49,36,26,14,7,9,39,1070,237,216
Clay,32,20170717,W,71.42857143,56,40,30.35714286,17,6,Fernando Verdasco,L,,,Facundo Bagnis,L,6-3 6-2,3,72,2,3,51,34,26,8,8,2,3,3,3,56,40,25,4,9,4,9,39,1070,113,497
Clay,32,20170717,W,64.86486486,74,48,13.51351351,10,6,Fernando Verdasco,L,2,,Albert Ramos,L,6-3 6-2,3,84,5,2,47,28,24,13,9,1,1,2,0,74,48,30,9,8,10,13,39,1070,24,1725
Clay,32,20170717,L,65.47619048,84,55,54.76190476,46,8,David Ferrer,R,6,,Fernando Verdasco,L,6-1 6-7(3) 6-4,3,129,2,3,84,55,40,19,14,2,3,7,6,107,55,36,25,15,7,12,46,960,39,1070
Clay,32,20170724,L,59.13043478,115,68,40,46,,Jiri Vesely,L,7,,Fernando Verdasco,L,7-6(7) 6-7(0) 6-3,3,165,9,8,115,68,40,24,16,2,7,4,9,109,67,45,18,17,1,8,55,840,37,1115
Hard,32,20170731,W,52.47524752,101,53,34.65346535,35,6,Fernando Verdasco,L,,,Ernesto Escobedo,R,6-7(6) 7-5 6-2,3,141,8,5,110,63,44,31,16,8,9,5,2,101,53,38,23,16,1,5,38,1115,83,618
Hard,32,20170731,L,65.97938144,97,64,25.77319588,25,,Vincent Millot,L,6,,Fernando Verdasco,L,1-6 6-2 6-4,3,124,3,3,97,64,45,15,13,9,12,4,1,69,42,28,16,12,3,6,165,332,38,1115
Hard,64,20170814,L,77.55102041,49,38,36.73469388,18,,Mischa Zverev,L,,,Fernando Verdasco,L,6-4 6-4,3,68,4,0,49,38,32,8,10,0,0,4,2,57,33,24,15,10,4,6,26,1474,40,1115
Hard,64,20170821,L,54.44444444,90,49,33.33333333,30,,Horacio Zeballos,L,8,,Fernando Verdasco,L,3-6 7-5 6-4,3,125,1,7,90,49,37,17,16,2,6,5,4,82,45,32,20,15,1,5,58,821,42,1080
Hard,128,20170828,W,41.37931034,29,12,31.03448276,9,,Fernando Verdasco,L,,,Vasek Pospisil,R,6-2 RET,5,34,1,1,22,15,9,4,4,0,1,0,0,29,12,4,8,4,5,8,43,1080,78,662
Hard,128,20170828,L,59.25925926,108,64,36.11111111,39,31,Feliciano Lopez,L,,,Fernando Verdasco,L,6-3 6-2 3-6 6-1,5,131,11,2,108,64,49,20,17,6,8,8,3,93,56,38,16,16,5,11,35,1250,43,1080
Hard,32,20171002,L,80.24691358,81,65,29.62962963,24,,Dusan Lajovic,R,,,Fernando Verdasco,L,6-1 3-6 6-3,3,85,1,1,81,65,43,11,13,4,6,3,2,67,43,32,11,12,2,6,78,652,41,1115
Hard,64,20171009,L,71.42857143,70,50,35.71428571,25,,Fabio Fognini,R,,,Fernando Verdasco,L,2-6 6-4 6-2,3,91,5,3,70,50,38,12,13,4,6,6,3,73,51,35,13,13,4,7,28,1650,43,1090
Hard,32,20171016,W,52.17391304,46,24,6.52173913,3,8,Fernando Verdasco,L,,,Robin Haase,R,6-3 6-1,3,47,3,0,35,28,27,5,8,0,0,1,1,46,24,15,9,8,1,5,43,1090,44,1075
Hard,32,20171016,W,56.92307692,65,37,27.69230769,18,8,Fernando Verdasco,L,,LL,Jurgen Zopp,R,6-4 6-2,3,72,3,0,56,34,25,13,9,2,3,6,4,65,37,26,9,9,4,8,43,1090,180,298
Hard,32,20171016,W,67.94871795,78,53,25.64102564,20,8,Fernando Verdasco,L,2,,Kevin Anderson,R,7-6(1) 7-6(1),3,102,2,2,79,56,45,14,12,1,1,10,2,78,53,41,11,12,1,1,43,1090,16,2470
Hard,32,20171016,L,64.28571429,112,72,36.60714286,41,4,Juan Martin del Potro,R,8,,Fernando Verdasco,L,6-7(4) 6-4 7-6(1),3,162,5,1,112,72,51,22,17,6,9,10,3,108,73,51,16,17,5,9,19,2225,43,1090
Hard,64,20171030,W,61.62790698,86,53,39.53488372,34,,Fernando Verdasco,L,,,Andrey Rublev,R,7-6(1) 7-6(6),3,109,11,5,95,64,45,16,12,3,5,5,1,86,53,37,16,12,6,8,39,1160,35,1284
Hard,64,20171030,W,62.26415094,106,66,28.30188679,30,,Fernando Verdasco,L,12,,Kevin Anderson,R,5-7 6-4 7-5,3,144,5,8,103,70,57,16,17,5,6,11,5,106,66,53,16,17,3,5,39,1160,16,2470
Hard,64,20171030,W,47.82608696,69,33,18.84057971,13,,Fernando Verdasco,L,5,,Dominic Thiem,R,6-4 6-4,3,83,4,0,51,41,32,6,10,3,4,4,1,69,33,19,22,10,6,9,39,1160,6,3935
Hard,64,20171030,L,68.69565217,115,79,33.91304348,39,16,Jack Sock,R,,,Fernando Verdasco,L,6-7(3) 6-2 6-3,3,148,10,8,115,79,59,14,15,4,5,9,6,99,69,49,11,14,14,18,22,1945,39,1160
Hard,32,20180101,W,59.75609756,82,49,51.2195122,42,7,Fernando Verdasco,L,,,Dudi Sela,R,4-6 6-4 6-0,3,110,6,6,90,57,35,13,13,9,15,1,4,82,49,23,12,13,7,16,35,1295,67,755
Hard,32,20180101,L,61.38613861,101,62,26.73267327,27,,Andrey Rublev,R,7,,Fernando Verdasco,L,6-4 3-6 6-4,3,117,3,9,101,62,42,17,15,7,11,12,5,75,41,30,18,14,3,7,39,1229,35,1295
Hard,32,20180108,L,64.40677966,59,38,33.89830508,20,,Alex De Minaur,R,,,Fernando Verdasco,L,6-4 6-2,3,76,3,3,59,38,29,10,9,6,7,3,4,45,27,16,9,9,2,6,167,323,40,1225
Hard,128,20180115,W,74.76635514,107,80,19.62616822,21,,Fernando Verdasco,L,20,,Roberto Bautista Agut,R,6-1 7-5 7-5,5,127,10,5,77,54,45,11,15,2,4,1,1,107,80,46,11,16,4,11,40,1225,21,2015
Hard,128,20180115,L,67.5,160,108,28.125,45,,Maximilian Marterer,L,,,Fernando Verdasco,L,6-4 4-6 7-6(5) 3-6 6-3,5,207,16,2,160,108,79,27,25,6,8,15,8,149,105,82,22,25,4,6,94,587,40,1225
Clay,32,20180212,W,55.40540541,74,41,18.91891892,14,8,Fernando Verdasco,L,,SE,Thiago Monteiro,L,6-2 7-5,3,92,5,0,57,31,23,20,10,1,1,4,2,74,41,28,15,10,9,12,40,1260,96,575
Clay,32,20180212,L,80,55,44,54.54545455,30,,Guido Pella,L,8,,Fernando Verdasco,L,6-2 6-4,3,77,1,3,55,44,31,6,9,1,2,5,3,62,39,24,8,9,5,9,59,864,40,1260
Clay,32,20180219,W,56.41025641,78,44,32.05128205,25,8,Fernando Verdasco,L,,,Leonardo Mayer,R,6-2 3-6 6-3,3,116,4,6,81,50,40,16,13,5,6,4,5,78,44,30,19,13,2,5,40,1260,49,999
Clay,32,20180219,W,61.9047619,84,52,41.66666667,35,8,Fernando Verdasco,L,,,Nicolas Kicker,R,6-7(3) 6-2 6-0,3,126,7,3,92,64,44,13,13,4,5,3,6,84,52,32,10,13,3,9,40,1260,86,660
Clay,32,20180219,W,60.9375,64,39,31.25,20,8,Fernando Verdasco,L,2,,Dominic Thiem,R,6-4 6-0,3,86,4,2,60,37,31,9,8,4,4,6,3,64,39,22,9,8,9,13,40,1260,6,4220
Clay,32,20180219,W,69.49152542,59,41,30.50847458,18,8,Fernando Verdasco,L,5,,Fabio Fognini,R,6-1 7-5,3,75,1,4,52,29,22,12,9,3,4,0,2,59,41,22,7,10,1,6,40,1260,21,1850
Clay,32,20180219,L,50.72463768,69,35,37.68115942,26,6,Diego Schwartzman,R,8,,Fernando Verdasco,L,6-2 6-3,3,83,2,4,69,35,26,17,9,8,9,3,3,51,27,18,7,8,1,5,23,1810,40,1260
Hard,32,20180226,L,58.92857143,56,33,33.92857143,19,,Diego Schwartzman,R,,,Fernando Verdasco,L,6-2 6-4,3,68,3,2,56,33,24,16,9,5,5,6,7,48,27,21,8,9,1,4,18,2220,27,1540
Hard,128,20180305,W,72.46376812,69,50,30.43478261,21,,Fernando Verdasco,L,,,Guido Pella,L,6-2 1-6 6-2,3,89,3,1,61,46,32,8,11,1,3,9,1,69,50,31,11,12,1,5,39,1260,60,880
Hard,128,20180305,W,63.54166667,96,61,31.25,30,,Fernando Verdasco,L,3,,Grigor Dimitrov,R,7-6(4) 4-6 6-3,3,126,12,7,94,58,45,19,16,7,10,2,3,96,61,41,19,15,0,3,39,1260,4,4635
Hard,128,20180305,L,69.56521739,92,64,34.7826087,32,,Taylor Fritz,R,,,Fernando Verdasco,L,4-6 6-2 7-6(1),3,127,4,2,92,64,50,13,15,2,4,7,10,90,52,39,19,15,5,8,74,714,39,1260
Hard,128,20180319,W,55.42168675,83,46,27.71084337,23,31,Fernando Verdasco,L,,,Guillermo Garcia Lopez,R,4-6 6-0 6-2,3,107,5,2,64,40,28,13,12,1,4,2,8,83,46,28,11,12,5,12,39,1260,69,779
